,region,"Трудящиеся, чел.","Число больниц, ед.","Дети до 16 лет, чел.","Бедность, %","Розничная торговля на душу населения, руб./чел.","Пенсионеры,чел.","Алкоголизм, на тыс.чел","Региональный продукт, на тыс. чел.","Среднедушевой доход, руб.мес./чел.","Реальные доходы,руб.мес./чел.","Количество безработных, %","Миграционный прирост, на тыс.чел","Продажа алкоголя, л.","Наркомания, на тыс.чел","Средняя жилая площадь на чел, м.кв.","Количество школ, шт./1000 чел.","В очереди на переселение, чел.","Валовый продукт, руб./чел.","Врожденные пороки развития, на 100тыс.чел.","Ветхое жильё, м.кв.","Подростковая беременность, на 100тыс.чел.","Общая заболеваемость, на 100тыс.чел.","Рождаемость, чел./1000 чел.","Психические расстройства, на 100тыс.чел."
0,Алтайский край,59.4,0.054667411794878475,31.4,17.5,151859.0,9.2,87.0,341450.35160114657,23192.25,98.69999999999999,2.987488636759179,-2.3529409252416738,5.50795,17.4,18.0,0.6893382352941176,0.8642000000000001,260336.07499999998,190.96666666666667,0.3,5.0,111208.65,9.621144159032626,1397.9333333333332
1,Амурская область,56.9,0.04963225015659289,38.4,15.8,223268.0,4.7,102.35,402777.68980094953,32238.25,101.375,2.9213919395969232,-2.7102978123486294,7.47955,21.549999999999997,17.3,0.6838471789425168,1.0731000000000002,471565.625,365.5,1.3,13.366666666666667,83665.5,10.708943291698786,481.4666666666667
2,Архангельская область без Ненецкого АО,64.3,0.053778529170784795,28.5,12.849999999999998,234360.5,7.2,60.0,1719929.3233937959,32871.75,99.75,3.226711750247088,-4.466555403860937,8.5859,7.3,16.9,0.5922427006987204,1.2998,489821.025,421.2,1.4,10.4,100714.75,9.253748340887183,674.9333333333333
2,Архангельская область без Ненецкого АО,64.3,0.053778529170784795,28.5,13.55,234360.5,7.2,60.0,1719929.3233937959,32871.75,99.75,3.226711750247088,-4.466555403860937,8.5859,7.3,16.9,0.5922427006987204,1.2998,489821.025,421.2,1.4,10.4,100714.75,9.253748340887183,674.9333333333333
3,Астраханская область,52.4,0.033775230035202664,42.1,15.425,172054.75,5.5,24.2,773242.8970518662,24181.0,98.875,3.8681267098710204,-4.550780811823401,4.5046,0.44999999999999996,19.2,0.5385675283091927,2.9027999999999996,532061.75,332.53333333333336,0.8,19.633333333333336,63367.850000000006,11.349709964457118,776.6666666666666
4,Белгородская область,42.3,0.02855156460960978,44.8,7.575,222034.25,12.9,43.25,1158820.302320742,31578.25,99.125,2.213149527931334,3.2911727272873916,4.9106000000000005,2.75,17.8,0.5006852161076112,0.384,598089.375,126.93333333333334,0.7,2.966666666666667,72686.75,8.868890247463025,398.59999999999997
5,Брянская область,51.6,0.04166502563124587,44.8,13.799999999999999,213555.75,3.7,87.2,424765.1732207894,27164.75,99.575,2.006554468211244,-1.014263534396448,5.610099999999999,8.399999999999999,24.1,0.6358476013681459,0.0,316206.125,180.79999999999998,0.1,8.366666666666667,77822.6,8.744473165443319,471.06666666666666
6,Владимирская область,60.4,0.042242055352751204,34.8,12.85,167634.5,4.8,65.9,758444.1351294218,24593.25,99.30000000000001,2.5108532039415477,-0.9127561357040594,7.7082,10.35,16.1,0.3729131554910011,0.15300000000000002,369975.85,211.79999999999998,0.2,16.166666666666668,93964.65,8.617925525435634,579.5333333333334
7,Волгоградская область,49.8,0.03500737889908357,46.2,12.95,158641.0,4.0,57.2,765926.458045894,23468.0,99.64999999999999,3.0760745151950424,-1.0570836088589752,4.2776,8.0,17.9,0.52790729773337,0.3993,371060.22500000003,139.5,1.0,4.0,64322.45,8.890481901433741,504.8333333333333
8,Вологодская область,54.6,0.04457518885270502,43.1,13.274999999999999,164472.5,2.3,50.35,1235803.0513998847,27689.5,98.70000000000002,2.572137691691974,-2.5904796354304076,8.83905,5.949999999999999,16.9,0.5175539161154732,0.7072,517670.49999999994,197.53333333333333,1.1,1.0999999999999999,90274.5,10.193855150257843,504.6666666666667
