region,"Трудящиеся, чел.","Розничная торговля на душу населения, руб./чел.","Пенсионеры,чел.","Алкоголизм, на тыс.чел","Региональный продукт, на тыс. чел.","Реальные доходы,руб.мес./чел.","Количество безработных, %","Миграционный прирост, на тыс.чел","Наркомания, на тыс.чел","Средняя жилая площадь на чел, м.кв.","Количество школ, шт./1000 чел.","В очереди на переселение, чел.","Ветхое жильё, м.кв.","Подростковая беременность, на 100тыс.чел.","Общая заболеваемость, на 100тыс.чел.","Рождаемость, чел./1000 чел.","Психические расстройства, на 100тыс.чел."
Алтайский край,4.084294226368599,151859.0,9.2,87.0,12.740957564118231,4.592084946439436,2.987488636759179,-2.3529409252416738,17.4,18.0,0.6893382352941176,-0.14595105548430418,0.3,1.6094379124341003,111208.65,9.621144159032626,1397.9333333333332
Амурская область,4.041295341132285,223268.0,4.7,102.35,12.90614005050944,4.618826512435577,2.9213919395969232,-2.710297812348629,21.55,17.3,0.6838471789425168,0.07055165595094484,1.3,2.592764045644414,83665.5,10.708943291698786,481.4666666666667
Архангельская область без Ненецкого АО,4.163559631243574,234360.5,7.2,60.0,14.357793756895257,4.602667055769973,3.226711750247088,-4.466555403860937,7.3,16.9,0.5922427006987204,0.2622104064781115,1.4,2.341805806147327,100714.75,9.253748340887183,674.9333333333333
Архангельская область без Ненецкого АО,4.163559631243574,234360.5,7.2,60.0,14.357793756895257,4.602667055769973,3.226711750247088,-4.466555403860937,7.3,16.9,0.5922427006987204,0.2622104064781115,1.4,2.341805806147327,100714.75,9.253748340887183,674.9333333333333
Астраханская область,3.9589065913269965,172054.75,5.5,24.2,13.558348504668547,4.593856426087818,3.868126709871021,-4.550780811823401,0.4499999999999999,19.2,0.5385675283091927,1.0656757884218448,0.8,2.9772288019894315,63367.850000000006,11.349709964457118,776.6666666666666
Белгородская область,3.744787086052232,222034.25,12.9,43.25,13.962913064848763,4.596381679955012,2.213149527931334,3.291172727287392,2.75,17.8,0.5006852161076112,-0.9571127263944101,0.7,1.0874389880699844,72686.75,8.868890247463025,398.6
Владимирская область,4.100989104940769,167634.5,4.8,65.9,13.5390244232843,4.598145571051127,2.510853203941548,-0.9127561357040594,10.35,16.1,0.3729131554910011,-1.8773173575897015,0.2,2.782951509275328,93964.65,8.617925525435634,579.5333333333334
Волгоградская область,3.9080149840306073,158641.0,4.0,57.2,13.548841436340703,4.6016640466588035,3.0760745151950424,-1.0570836088589752,8.0,17.9,0.52790729773337,-0.9180422649129615,1.0,1.3862943611198906,64322.45,8.890481901433741,504.8333333333333
Вологодская область,4.000033882750859,164472.5,2.3,50.35,14.027231560775643,4.592084946439436,2.572137691691974,-2.590479635430408,5.949999999999999,16.9,0.5175539161154732,-0.3464417676587033,1.1,0.09531017980432493,90274.5,10.193855150257844,504.6666666666667
Воронежская область,4.237000862623624,240638.25,2.3,74.80000000000001,13.175664451800257,4.589802708856969,2.0051062084053104,2.953374468228454,22.85,19.9,0.4674843429166909,-0.5656338602609856,0.9,2.136136885356381,54782.65,8.862483615310557,637.3666666666667
Забайкальский край,4.08260930600368,157319.5,7.2,75.4,12.771666049174085,4.612145799724517,4.958765793353431,-5.838765531504412,9.5,17.1,0.9134922809902256,0.46392267767973305,1.8,3.1484533605716547,67719.95,12.377275806974255,512.4
Ивановская область,3.8607297110405954,169028.5,5.0,78.95,12.856735126314302,4.5836911543109675,2.349515279400445,-1.1755003737190004,6.7,18.1,0.3755004208364296,-0.6236211179113348,1.5,1.0874389880699844,88113.7,8.547630666101199,592.7333333333333
Иркутская область,3.9415818076696905,151045.5,7.0,83.5,13.814551125753303,4.612394031077411,3.755447273145365,-2.310027065048179,17.45,16.3,0.7191596355536884,0.6733525532317658,1.6,1.6160824551527688,97599.6,12.332259812798348,558.4333333333333
Камчатский край,3.9415818076696905,188137.5,5.9,62.8,13.900132900384179,4.631568659842622,2.40058822360446,-1.4649947338089466,7.15,15.9,0.4911949346710736,1.4964931534179662,3.0,2.120263536200091,79468.65,10.89803461775402,600.5666666666667
Кемеровская область,4.021773869387265,143924.75,4.5,42.0,14.03263519910762,4.607168188650764,3.0943110039642017,-1.7517041764163388,13.45,16.3,0.3822066832734852,-0.6762900634935223,1.0,1.442989704796436,86666.6,9.45553259919982,561.7333333333335
Кировская область,4.019980146933238,155199.25,3.4,52.1,12.993949616885134,4.596381679955012,2.628471691477313,-2.4640698879895284,4.0,14.9,0.5439365106083205,-0.07969276890924851,2.5,3.077312260546414,75074.95,9.447036491133163,466.4333333333334
Краснодарский край,3.9852734671677386,249310.0,6.9,20.05,12.924387735295168,4.604920154732882,2.664673961695012,6.755026277374469,4.05,18.1,0.4086789853339567,-0.24181681657983103,1.2,1.6986690461620428,66145.15,11.159761227433725,308.6333333333334
